real,approx,threshold,abs_error_percentage,approx paths given
11819.33,12263.11,7.39,3.754696755230632,True
-1.0,-1.0,11.27,-0.0,False
12150.45,12491.15,11.27,2.804011374064326,True
7879.78,8070.42,11.27,2.419356885598333,True
999.04,999.04,11.27,0.0,False
3923.21,3923.21,7.26,0.0,False
11178.1,11315.92,7.26,1.2329465651586557,True
7725.0,8060.41,7.26,4.34187702265372,True
13559.59,13677.43,5.39,0.8690528253435402,True
14674.59,14674.59,5.39,0.0,False
10310.1,10658.31,5.39,3.377367823784436,True
17532.48,18058.37,6.41,2.9995186077497276,True
-1.0,-1.0,6.41,-0.0,False
8243.18,8243.18,6.41,0.0,False
19260.23,19337.11,7.57,0.39916449595877634,True
-1.0,-1.0,7.57,-0.0,False
15378.93,15378.93,7.57,0.0,False
3517.4,3517.4,7.57,0.0,False
8670.59,9263.19,9.32,6.834598337598714,True
2543.67,2543.67,9.32,0.0,False
14526.75,15027.22,9.32,3.4451615123823247,True
6099.92,6099.92,7.17,0.0,False
-1.0,-1.0,7.17,-0.0,False
10415.84,10415.84,7.17,0.0,False
9757.96,10170.87,7.17,4.231519702888736,True
3917.97,4044.29,7.33,3.2241186124447143,True
-1.0,-1.0,7.33,-0.0,False
11031.6,11415.76,8.07,3.482359766488994,True
6259.88,6327.96,8.07,1.0875607839127894,True
15995.92,15995.92,13.58,0.0,False
16416.62,16885.13,13.58,2.8538761328458726,True
4431.9,5179.13,13.58,16.860263092578816,True
12664.64,12764.62,13.58,0.7894421002097286,True
-1.0,-1.0,8.8,-0.0,False
4140.45,4140.45,8.47,0.0,False
8208.45,8752.5,8.47,6.627926100542723,True
11123.36,11677.76,9.11,4.984105522072464,True
-1.0,-1.0,13.6,-0.0,False
-1.0,-1.0,13.6,-0.0,False
3610.74,4158.44,13.6,15.168635792109091,True
-1.0,-1.0,5.51,-0.0,False
3862.3,3862.3,5.51,0.0,False
2217.65,2217.65,8.76,0.0,False
9296.18,9296.18,8.89,0.0,False
3886.42,3886.42,8.89,0.0,False
11341.83,11713.02,8.89,3.2727522807166087,True
7387.33,7387.33,6.08,0.0,False
8142.42,8142.42,6.08,0.0,False
5410.58,5410.58,11.93,0.0,False
-1.0,-1.0,11.93,-0.0,False
3326.63,3326.63,8.41,0.0,False
16735.67,16735.67,8.41,0.0,False
14872.64,15148.62,8.41,1.8556221356800233,True
12528.73,12598.69,8.41,0.5583965812975533,True
16198.18,16198.18,5.42,0.0,False
14237.94,14653.78,5.42,2.9206472284614216,True
16464.85,17024.39,5.42,3.3983911180484543,True
2156.31,2156.31,11.88,0.0,False
16079.29,16498.2,11.88,2.6052767255270592,True
9856.53,9984.1,11.88,1.2942688755576222,True
6510.81,6916.61,10.14,6.232711444505357,True
6474.99,6474.99,10.14,0.0,False
-1.0,-1.0,10.14,-0.0,False
-1.0,-1.0,13.36,-0.0,False
7939.44,8020.84,13.36,1.0252612274921222,True
7670.95,7670.95,8.33,0.0,False
-1.0,-1.0,8.33,-0.0,False
921.19,921.19,8.33,0.0,False
7491.61,7559.17,8.33,0.9018088234705277,True
-1.0,-1.0,9.29,-0.0,False
-1.0,-1.0,9.29,-0.0,False
-1.0,-1.0,10.96,-0.0,False
11861.57,12530.81,10.96,5.64208616565935,True
2612.04,2612.04,10.96,0.0,False
15931.54,16860.36,10.96,5.8300704137829715,True
12083.36,12600.96,14.17,4.283576753485773,True
-1.0,-1.0,14.17,-0.0,False
16169.2,16265.73,12.82,0.5969992331098559,True
10180.55,11457.96,14.85,12.547553914081263,True
11090.0,12442.12,14.85,12.192245266005418,True
8243.76,8243.76,14.85,0.0,False
6428.78,6720.41,14.85,4.536319488301048,True
17557.76,17803.34,6.95,1.3986977837719718,True
7806.19,7826.11,12.99,0.2551821054829574,True
12521.74,12521.74,13.37,0.0,False
18256.58,18637.16,13.37,2.084618258184162,True
10149.02,10436.03,13.37,2.827957773262839,True
4495.65,4495.65,13.37,0.0,False
12187.7,12204.62,6.97,0.13882849101963513,True
11799.84,12222.36,13.51,3.580726518325676,True
6700.39,6706.52,13.51,0.09148721193841118,True
10114.35,10114.35,13.51,0.0,False
8674.39,8674.39,9.1,0.0,False
2023.34,2023.34,9.1,0.0,False
11598.57,11650.61,9.1,0.4486760005759406,True
4927.08,4927.08,6.29,0.0,False
12518.81,12518.81,5.69,0.0,False
10853.06,10853.06,5.69,0.0,False
13772.42,13927.19,5.69,1.1237676457732224,True
8976.94,8976.94,5.69,0.0,False
3891.51,3891.51,7.94,0.0,False
2022.04,2022.04,7.94,0.0,False
12232.88,13078.96,7.94,6.916441590206067,True
11572.47,11616.4,7.94,0.37960781060569,True
6343.74,6343.74,5.35,0.0,False
1666.55,1666.55,14.14,0.0,False
11760.29,11760.29,13.22,0.0,False
-1.0,-1.0,13.22,-0.0,False
12015.87,12554.63,13.22,4.483736924583891,True
7852.0,7982.66,13.22,1.6640346408558309,True
-1.0,-1.0,8.75,-0.0,False
9631.27,10647.25,8.75,10.548764596984608,True
-1.0,-1.0,8.75,-0.0,False
15529.65,15529.65,8.75,0.0,False
3476.28,3579.2,14.76,2.9606360822488296,True
-1.0,-1.0,14.76,-0.0,False
8295.6,8448.62,14.76,1.8445923139977873,True
8439.83,8564.15,6.76,1.473015451733029,True
17884.35,17884.35,6.76,0.0,False
-1.0,-1.0,6.76,-0.0,False
9094.36,9094.36,6.76,0.0,False
12053.8,12135.71,9.47,0.6795367435995276,True
14578.54,14770.6,13.14,1.3174158729200556,True
-1.0,-1.0,13.14,-0.0,False
7810.04,7810.04,11.03,0.0,False
9147.42,9147.42,11.03,0.0,False
-1.0,-1.0,5.17,-0.0,False
10376.98,10376.98,5.42,0.0,False
4543.56,4543.56,11.53,0.0,False
-1.0,-1.0,11.53,-0.0,False
12666.86,12762.06,11.53,0.7515674760753566,True
13205.02,13281.28,13.62,0.5775076448199262,True
7578.15,7962.31,13.62,5.069311111550983,True
-1.0,-1.0,13.62,-0.0,False
6497.82,6755.44,6.79,3.964714319571793,True
8660.1,8660.1,10.69,0.0,False
-1.0,-1.0,10.69,-0.0,False
16054.38,16466.54,10.69,2.56727447587513,True
14333.8,14333.8,10.69,0.0,False
4406.93,4406.93,6.63,0.0,False
9464.44,9464.44,7.0,0.0,False
4150.48,4150.48,7.0,0.0,False
7889.36,7889.36,7.0,0.0,False
8289.53,8289.53,7.0,0.0,False
13942.96,14678.12,12.43,5.272625038012027,True
6023.42,6463.45,12.43,7.30531824113211,True
11299.95,12178.34,12.43,7.773397227421356,True
4860.85,4946.05,11.82,1.7527798636040985,True
22428.02,22428.02,11.82,0.0,False
5646.03,5691.77,11.82,0.8101267616360646,True
4599.24,4599.24,9.51,0.0,False
6131.02,6131.02,9.51,0.0,False
14833.33,15086.2,9.51,1.7047419561217934,True
8054.74,8054.74,5.7,0.0,False
-1.0,-1.0,5.7,-0.0,False
4014.51,4014.51,5.7,0.0,False
6943.74,6943.74,12.44,0.0,False
17761.99,17761.99,12.44,0.0,False
4796.54,4796.54,8.44,0.0,False
6388.74,6388.74,11.14,0.0,False
691.54,691.54,11.14,0.0,False
10471.55,10676.81,11.14,1.960168265443036,True
17582.93,17864.31,11.14,1.6003021111953526,True
17861.1,17887.3,10.52,0.1466874940513223,True
6364.58,6364.58,5.35,0.0,False
12865.64,13283.81,8.39,3.250285255921976,True
6449.74,6452.28,14.26,0.039381432429833815,True
-1.0,-1.0,14.26,-0.0,False
-1.0,-1.0,6.64,-0.0,False
7189.16,7189.16,6.64,0.0,False
13970.21,13970.21,6.05,0.0,False
7030.3,7030.3,6.05,0.0,False
-1.0,-1.0,6.05,-0.0,False
16039.83,16241.4,12.43,1.2566841419142205,True
5600.95,5872.24,11.68,4.843642596345262,True
4523.39,4523.39,11.68,0.0,False
7263.58,7263.58,11.68,0.0,False
-1.0,-1.0,11.68,-0.0,False
10082.16,10082.16,6.26,0.0,False
-1.0,-1.0,6.26,-0.0,False
-1.0,-1.0,12.65,-0.0,False
-1.0,-1.0,12.65,-0.0,False
14077.79,14667.94,12.65,4.192064237355434,True
-1.0,-1.0,6.99,-0.0,False
10096.85,10096.85,6.99,0.0,False
-1.0,-1.0,5.31,-0.0,False
11533.72,11670.06,5.31,1.1820990972557002,True
10536.21,10536.21,5.31,0.0,False
-1.0,-1.0,5.31,-0.0,False
9913.41,9913.41,10.68,0.0,False
14885.85,15110.21,8.71,1.5072031492994942,True
7321.25,7321.25,8.85,0.0,False
-1.0,-1.0,8.85,-0.0,False
8403.79,8403.79,13.58,0.0,False
-1.0,-1.0,13.58,-0.0,False
7540.69,7540.69,13.58,0.0,False
-1.0,-1.0,14.9,-0.0,False
-1.0,-1.0,14.9,-0.0,False
11975.51,12183.17,10.94,1.7340388843564898,True
3703.3,3703.3,10.94,0.0,False
5226.48,5226.48,7.02,0.0,False
11284.87,11555.31,7.02,2.3964830786708102,True
13793.91,14074.17,6.45,2.031766192471897,True
840.4,840.4,6.45,0.0,False
14206.89,14206.89,6.45,0.0,False
7958.11,7958.11,6.45,0.0,False
-1.0,-1.0,10.14,-0.0,False
6412.93,6412.93,6.61,0.0,False
12422.89,12760.65,6.61,2.7188520545541355,True
18787.2,18865.06,6.61,0.414431102026915,True
9634.87,9634.87,6.61,0.0,False
5864.54,5864.54,12.31,0.0,False
11615.61,11753.71,7.68,1.18891732763065,True
6938.85,6938.85,7.68,0.0,False
12821.96,12821.96,5.89,0.0,False
1341.23,1341.23,5.89,0.0,False
12383.29,12383.29,5.89,0.0,False
4934.98,4934.98,10.97,0.0,False
6448.33,7137.53,10.97,10.688038608445904,True
12262.39,12425.23,10.97,1.3279629827464314,True
-1.0,-1.0,8.03,-0.0,False
3955.87,3955.87,11.91,0.0,False
9418.18,9441.94,11.91,0.2522780409803191,True
2689.34,2689.34,14.08,0.0,False
1768.72,1768.72,14.08,0.0,False
10743.93,10743.93,9.96,0.0,False
15484.91,18316.68,9.96,18.287287430149743,True
8567.44,8567.44,8.16,0.0,False
13770.62,14523.95,8.16,5.470559785979134,True
12723.6,12951.0,8.16,1.7872300292370056,True
5172.22,5172.22,8.16,0.0,False
-1.0,-1.0,13.07,-0.0,False
10047.99,10211.55,13.07,1.6277882442160023,True
10982.15,11183.03,10.99,1.829150029821128,True
16970.62,17087.21,10.99,0.6870108458029238,True
3458.08,3458.08,10.99,0.0,False
15016.49,15016.49,10.99,0.0,False
8428.5,8617.7,9.83,2.2447647861422637,True
8836.62,8836.62,9.83,0.0,False
-1.0,-1.0,5.53,-0.0,False
7921.89,7921.89,5.53,0.0,False
3535.44,3535.44,7.52,0.0,False
-1.0,-1.0,7.52,-0.0,False
10285.51,10423.49,5.63,1.3414988658802485,True
10644.77,10644.77,5.63,0.0,False
7041.0,7041.0,12.88,0.0,False
10403.57,10571.17,13.01,1.6109854597988995,True
13960.65,14156.65,9.57,1.4039460913352888,True
10705.1,11137.48,9.57,4.039009444096731,True
11445.28,11789.58,9.57,3.0082269721666854,True
8895.86,8895.86,9.57,0.0,False
7716.27,7859.77,8.09,1.859706827262395,True
15889.56,15990.43,8.09,0.634819340497791,True
9416.23,9621.87,8.09,2.18388888121893,True
9439.88,9439.88,8.09,0.0,False
3272.51,3272.51,10.85,0.0,False
3278.21,3278.21,10.85,0.0,False
14192.56,14450.26,10.85,1.8157400778999755,True
8681.5,8871.9,14.39,2.1931693831711065,True
8665.72,8708.76,14.39,0.4966696362218128,True
3807.19,3807.19,14.39,0.0,False
15666.83,15771.13,12.83,0.665737740181002,True
3450.78,3450.78,12.67,0.0,False
6664.0,6664.0,12.67,0.0,False
-1.0,-1.0,12.67,-0.0,False
4304.43,4304.43,12.67,0.0,False
1069.46,1069.46,10.68,0.0,False
9728.02,9728.02,5.73,0.0,False
-1.0,-1.0,9.34,-0.0,False
7478.83,8032.76,11.78,7.406639808633172,True
4733.65,4733.65,14.76,0.0,False
-1.0,-1.0,14.76,-0.0,False
-1.0,-1.0,14.76,-0.0,False
9194.85,9534.47,14.76,3.693589346210095,True
10199.35,10255.09,5.61,0.5465054145607297,True
9585.37,9585.37,5.61,0.0,False
7725.4,7725.4,5.61,0.0,False
8032.26,8032.26,5.61,0.0,False
2797.58,2797.58,11.81,0.0,False
-1.0,-1.0,11.81,-0.0,False
-1.0,-1.0,12.49,-0.0,False
2526.03,2526.03,13.42,0.0,False
9283.56,9525.59,13.42,2.607081766046653,True
-1.0,-1.0,13.43,-0.0,False
7520.96,8116.28,13.43,7.915478875037225,True
5020.31,5020.31,9.45,0.0,False
-1.0,-1.0,11.5,-0.0,False
-1.0,-1.0,11.5,-0.0,False
-1.0,-1.0,11.5,-0.0,False
-1.0,-1.0,6.58,-0.0,False
-1.0,-1.0,8.72,-0.0,False
-1.0,-1.0,8.72,-0.0,False
2857.33,2857.33,12.64,0.0,False
7176.64,7586.08,12.64,5.705176795826453,True
6037.64,6206.25,12.64,2.7926474582783944,True
7170.11,7170.11,12.64,0.0,False
14056.13,14056.13,8.18,0.0,False
2033.55,2033.55,8.18,0.0,False
12031.29,12254.5,12.54,1.855245779962075,True
10861.34,11310.1,12.54,4.131718554064234,True
13278.09,13299.49,12.54,0.1611677583146344,True
8836.32,9350.48,14.5,5.81871186195158,True
12469.95,12907.19,14.5,3.506349263629764,True
13002.28,13391.62,9.73,2.9943979055980963,True
3831.26,3831.26,9.73,0.0,False
13233.07,13233.07,5.17,0.0,False
9245.77,9245.77,5.17,0.0,False
5651.13,5716.62,10.4,1.1588832675942649,True
6553.33,6702.41,10.4,2.274873995358084,True
4482.41,4482.41,13.27,0.0,False
12568.84,13170.82,13.27,4.7894634667956595,True
2008.92,2008.92,9.21,0.0,False
13996.2,14502.42,12.12,3.6168388562609803,True
7064.27,7259.29,7.94,2.7606532592893465,True
-1.0,-1.0,7.94,-0.0,False
9001.79,9001.79,8.21,0.0,False
5186.66,5186.66,8.21,0.0,False
16823.75,17312.53,10.33,2.9052975703989827,True
10390.7,10639.77,10.33,2.397047359658153,True
1265.82,1265.82,10.33,0.0,False
16121.08,16386.86,10.22,1.6486488498289238,True
3502.27,3502.27,10.22,0.0,False
16310.47,16543.36,10.22,1.427855849647504,True
15250.02,15391.4,10.87,0.9270807513695011,True
7477.2,7477.2,10.87,0.0,False
11504.6,11869.32,10.87,3.17021017679884,True
14195.96,14549.04,10.87,2.487186495312763,True
16985.69,17122.99,9.57,0.8083274803673147,True
7088.16,7399.3,10.8,4.3895735987901,True
3046.52,3136.96,10.8,2.9686330632984537,True
-1.0,-1.0,6.93,-0.0,False
5517.24,5752.21,13.64,4.2588323147080835,True
9507.72,9527.8,13.64,0.21119679586693685,True
14471.77,15396.76,12.65,6.391685329437932,True
15716.7,16061.39,12.65,2.1931448713788435,True
1889.1,1889.1,12.65,0.0,False
9631.97,9719.09,9.38,0.9044878669680326,True
6289.74,6289.74,8.95,0.0,False
18846.7,19335.4,9.73,2.593026895955264,True
9406.86,9525.37,9.73,1.259825276447191,True
3016.07,3261.79,9.73,8.14702576531711,True
-1.0,-1.0,9.41,-0.0,False
2608.96,2608.96,9.41,0.0,False
17459.04,17534.78,13.65,0.43381537587403407,True
-1.0,-1.0,13.65,-0.0,False
9663.53,10619.83,13.65,9.89596969223461,True
15419.35,15492.45,10.69,0.47407964667771574,True
-1.0,-1.0,10.69,-0.0,False
17975.49,17975.49,14.44,0.0,False
11744.58,11744.58,14.44,0.0,False
3194.57,3194.57,14.44,0.0,False
12789.12,13013.72,7.92,1.7561802532152215,True
3747.54,3747.54,7.92,0.0,False
9070.45,9198.15,13.45,1.4078684078518584,True
9530.28,10210.83,13.45,7.140923456603574,True
9054.14,9425.58,13.42,4.102432699295576,True
18066.92,18066.92,13.42,0.0,False
-1.0,-1.0,14.22,-0.0,False
1977.3,2247.71,14.22,13.67571941536439,True
7621.65,7684.83,14.22,0.828954360276322,True
5284.66,5284.66,5.6,0.0,False
5514.68,5514.68,7.76,0.0,False
-1.0,-1.0,7.76,-0.0,False
5592.84,6027.61,13.28,7.773689216927348,True
6001.64,6001.64,13.28,0.0,False
11610.58,12089.51,13.28,4.124944662540547,True
-1.0,-1.0,7.53,-0.0,False
5141.74,5141.74,7.53,0.0,False
16169.91,16169.91,7.53,0.0,False
7667.74,7667.74,7.53,0.0,False
3830.12,3830.12,7.94,0.0,False
5611.13,5611.13,7.94,0.0,False
9089.58,9515.67,7.94,4.6876753381344365,True
-1.0,-1.0,10.89,-0.0,False
12483.2,13119.27,10.89,5.095408228659315,True
15349.25,15445.73,10.8,0.628564913595124,True
4914.34,4914.34,10.8,0.0,False
6054.3,6054.3,10.8,0.0,False
14329.36,14329.36,10.8,0.0,False
15217.23,15369.51,8.11,1.0007077503593012,True
-1.0,-1.0,8.11,-0.0,False
14354.93,14747.2,8.11,2.73265003730426,True
5987.71,5987.71,10.41,0.0,False
5771.56,5771.56,10.41,0.0,False
3541.41,3541.41,11.56,0.0,False
13690.94,13945.82,11.56,1.8616691038014863,True
4056.3,4056.3,11.56,0.0,False
10042.66,10042.66,5.26,0.0,False
10089.88,10089.88,5.26,0.0,False
5562.7,5562.7,5.26,0.0,False
7057.68,7413.45,8.85,5.0408916244431525,True
12732.8,12766.26,8.85,0.2627858758482105,True
7346.07,7346.07,8.85,0.0,False
10359.57,10605.75,7.94,2.3763534586860295,True
16312.81,16821.89,7.94,3.120737628894102,True
4570.72,4814.44,6.87,5.332201491231126,True
-1.0,-1.0,6.87,-0.0,False
-1.0,-1.0,6.87,-0.0,False
7146.64,7146.64,6.87,0.0,False
9662.69,10386.94,14.07,7.495324800857732,True
5469.93,5469.93,14.07,0.0,False
14518.99,14814.31,14.07,2.034025782785164,True
-1.0,-1.0,12.75,-0.0,False
5227.78,5353.1,8.15,2.3971934549655995,True
-1.0,-1.0,8.15,-0.0,False
9611.65,9875.16,8.15,2.7415688253317616,True
10792.5,11120.13,8.15,3.0357192494787975,True
7907.31,8386.85,12.34,6.06451498676541,True
